ASV_ID	GB81	GB82	GB83	GB84	GB85	GB86	PBS81	PBS82	PBS83	PBS84	PBS85	PBS86	PE81	PE82	PE83	PE84	PE85	PE86
ASV217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV219	2292	890	2005	3924	1523	4744	1062892	222154	698574	434794	177697	446043	49390	59641	109045	59929	75928	33876
ASV220	12484	3894	14828	5421	3734	15363	1740703	1234303	2553918	870312	634620	1537935	90972	224894	95429	235100	176766	105416
ASV221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV222	0	0	0	0	0	0	0	0	0	0	0	0	0	44136	41918	0	43927	0
ASV223	0	0	0	0	0	0	0	0	0	0	0	25811	142757	1172328	918618	0	658904	3454870
ASV224	0	0	0	0	0	0	0	9336	0	0	0	0	0	0	0	0	0	0
ASV225	0	0	5609	0	627	0	11973	0	0	0	0	0	2799	0	0	0	0	0
ASV226	0	0	0	0	0	0	23952	0	0	0	0	0	0	0	0	0	0	0
ASV227	3270	2853	2225	687	780	11602	174499	133430	537525	59686	100263	86432	15321	72332	77972	13939	49792	23605
ASV228	0	404	683	0	0	1652	39332	75214	115092	11187	69442	40387	0	0	0	0	0	2186
ASV229	14190	3586	18240	10326	6443	50266	151073	70189	328214	56060	88300	50841	44631	45128	30323	20887	0	119605
ASV230	0	742	0	0	0	2426	0	42113	88114	14212	27404	0	0	0	0	0	0	0
ASV231	0	3446	4337	7406	0	0	0	0	0	0	53160	0	0	0	0	0	0	0
ASV232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV233	8089	7107	8254	26897	13941	4599	63200	57771	53601	47753	21059	0	57548	0	110281	42601	167646	9608
ASV234	0	0	0	0	0	18289	70215	5599	0	6177	0	1789272	0	0	0	0	0	22287
ASV235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV236	5867	2226	2924	3485	2196	14420	42425	8040	28905	28556	15529	17729	1244	2975	1338	471	13760	1040
ASV237	0	0	0	0	0	2745	0	0	0	18277	0	21244	12959	18061	0	0	22542	0
ASV239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV241	1501	1855	7658	2194	3075	3908	44494	31011	110493	30530	37299	49928	32501	42152	114307	103965	97557	23475
ASV242	6355	3049	13924	4597	8826	67196	265065	152265	807890	333137	219186	303402	35362	194514	79005	131447	147172	174629
ASV243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV244	12991	21544	73537	15999	39192	34134	197965	146720	429643	167135	315879	82666	8940	38901	41389	110874	81763	24555
ASV245	4455	1262	4262	2502	2390	5776	964532	92587	424825	74123	65713	335613	64901	45543	72653	38461	58865	0
ASV246	0	0	0	0	0	0	0	53921	0	0	0	0	0	0	0	0	0	0
ASV247	484	659	3460	4468	1820	1077	350375	72039	93519	120773	0	75555	288059	101970	487885	74574	94888	7517
ASV248	4778	4955	9589	6931	1880	11641	25969	24729	18322	10753	9419	23992	18758	21033	22962	12405	25604	24744
ASV249	0	0	0	0	0	0	55281	74472	114957	37857	166215	33573	0	4755	4887	0	0	0
ASV250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV251	2456	0	2506	1549	0	4245	107872	85184	203502	0	78328	41260	33823	75874	37235	30860	90500	11589
ASV252	0	0	0	0	0	0	0	0	0	4507	0	0	0	0	0	0	0	0
ASV253	0	0	0	0	0	0	994909	642547	644307	712331	225013	914744	0	0	0	0	0	0
ASV254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV255	6039	608	3081	0	360	3314	128495	105126	284314	98698	150120	98733	25239	146334	25586	64107	36439	35805
ASV256	0	0	0	0	0	0	0	0	0	0	0	0	19128	0	0	134276	51866	0
ASV257	11598	3833	6962	4518	1464	28300	8795	2169	13054	4606	12788	5214	14618	16696	11297	2984	8115	28824
ASV258	0	556	0	0	0	3032	58980	35222	158046	65930	35396	37544	0	2976	0	0	0	0
ASV259	29984	26706	17230	14037	7248	31029	48504	88246	0	0	5938	24247	14112	42400	14270	9776	39296	61065
ASV260	0	0	0	0	0	0	49668	23736	94408	23490	396209	28744	0	0	0	0	0	0
ASV261	0	0	0	0	0	0	0	0	0	0	0	0	62465	0	0	818497	1234810	1046720
ASV262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV264	0	0	0	0	0	0	0	38142	0	30346	61010	0	0	0	0	0	0	0
ASV265	0	0	0	0	0	0	5393618	1332950	988373	147783	314684	1211055	0	0	0	0	0	0
ASV266	4536	2294	0	5190	0	9482	0	0	0	0	0	0	0	10992	0	0	21415	18611
ASV267	1403	0	0	1217	0	4274	0	0	0	0	0	0	0	0	0	0	0	0
ASV269	39117	19863	0	3322	16375	74278	125364	54256	50070	85265	322680	241014	93029	106518	63196	96319	366710	150072
ASV270	0	0	0	0	0	0	0	0	0	0	0	0	2799	0	0	0	0	0
ASV271	64858	0	37956	12731	10230	26953	39689	8391	37680	75533	18978	40894	21516	70650	109345	163286	70324	48440
ASV272	0	0	0	0	0	0	0	0	0	0	0	0	528455	5383463	1048135	5022046	87114	550262
ASV273	7394	36306	0	8518	0	2203	0	24029	0	1394	0	1579	5790	11660	0	4517	0	765
ASV274	0	0	852	0	747	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV275	0	0	0	0	0	0	33591	0	73585	0	27097	5837	0	0	0	0	0	0
ASV276	10915	2473	5848	7486	4979	13746	582563	353752	685334	319253	396742	222135	25503	72072	33593	27641	35635	30310
ASV277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6112	0	0	0
ASV279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV280	51042	30785	19617	27121	41526	44930	31734	24490	0	0	7396	18446	50997	150178	32858	26418	74886	59010
ASV281	0	0	0	0	0	0	0	0	0	0	0	0	2274318	1465410	2303233	0	566817	166704
ASV282	25485	10967	18676	7819	9609	44510	79472	29082	89096	21258	12736	42681	259169	290512	233363	228210	290446	381551
ASV283	13099	8160	0	12004	24160	14150	234370	51302	311897	707462	1299840	654282	54584	325316	0	31567	237629	36104
ASV284	4991	2887	8073	6127	1595	11379	23151	20210	0	9217	8353	17703	19121	22962	23135	18149	26016	23819
ASV285	0	2202	0	0	1204	0	159464	39858	75361	5768	121794	109289	17042	36457	9978	30334	16675	7327
ASV286	166	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0
