#OTU ID	GB51	GB52	GB53	GB54	GB55	GB56
ASV619	0	0	4144	21796	9060	10587
ASV620	2621	1456	1579	1333	0	1797
ASV621	0	0	0	6265	13493	1155
ASV622	0	0	0	1233	0	1187
ASV623	2555	2548	1184	3999	2698	1732
ASV624	7539	1122	1757	2602	0	1450
ASV625	0	0	0	0	0	0
ASV626	0	0	0	15531	0	0
ASV627	0	0	0	0	0	0
ASV628	1737	2704	1030	7308	697	1237
ASV629	0	0	0	0	1542	0
ASV630	0	0	0	0	0	0
ASV631	1572	437	0	0	4472	1694
ASV632	0	2827	1533	0	0	0
ASV633	0	469	0	0	0	0
ASV634	0	36520	6443	2313	656	1964
ASV635	0	0	0	0	0	0
ASV636	6402	6551	2481	0	5397	2420
ASV637	0	0	0	0	0	0
ASV638	0	0	0	0	0	0
ASV639	14281	7361	8573	3595	9529	6777
ASV640	6685	1486	1074	1904	9179	3929
ASV641	0	0	0	4123	1788	2381
ASV642	0	0	0	0	0	0
ASV643	0	0	0	0	0	0
ASV644	886	615	667	0	434	542
ASV645	7862	0	0	10131	10409	6416
ASV646	6487	6007	766	10872	9357	8597
ASV647	0	0	0	0	0	0
ASV648	0	0	0	0	0	0
ASV649	0	0	0	0	0	0
ASV650	898	1664	677	1143	0	1540
ASV651	0	0	0	0	0	0
ASV652	0	0	0	0	0	0
ASV653	0	0	0	0	132	0
ASV656	4492	1248	4059	2628	1652	2420
ASV657	3734	1638	4736	7198	4819	2695
ASV658	0	2352	0	0	15341	2357
ASV659	0	0	0	0	0	0
ASV660	0	0	0	0	0	0
ASV661	0	0	0	0	0	0
ASV662	644	298	1051	2213	1422	631
ASV663	0	0	0	0	0	0
ASV664	7338	4489	921	3333	3855	4491
ASV665	483	0	0	0	0	0
ASV666	5615	124	134	2856	18226	786
ASV667	0	332	541	2739	1232	352
ASV668	698	215	350	0	0	0
ASV669	0	0	0	0	0	0
ASV670	1966	0	0	0	1542	770
ASV671	3276	4550	4932	12664	8032	8021
ASV672	6136	0	385	2926	0	0
ASV673	0	0	0	0	0	0
ASV674	590	0	0	0	386	0
ASV675	0	0	0	0	0	0
ASV676	0	0	0	0	0	0
ASV677	0	6006	0	0	3855	3272
ASV678	0	0	901	1278	0	176
ASV679	561	312	225	856	605	439
ASV680	2358	0	1973	0	1928	0
ASV682	0	0	0	0	0	0
ASV683	0	0	0	0	0	0
ASV684	0	0	0	0	0	0
ASV685	0	0	0	0	0	0
ASV686	0	2584	467	828	0	0
ASV687	0	0	0	0	0	0
ASV688	0	0	0	0	0	1155
ASV689	1123	3813	2631	6094	5324	2200
ASV690	6526	3232	2742	11272	6698	2230
ASV691	5634	2669	1579	10531	4755	2952
ASV692	15647	28269	27586	10483	9357	13455
ASV693	0	409	591	6740	0	0
ASV694	0	0	0	2603	0	0
ASV695	2358	1820	1973	4199	2506	2310
ASV696	1907	951	1914	0	3309	2729
ASV697	7468	3640	3552	4999	8674	1540
ASV698	0	0	0	0	0	0
ASV699	0	0	0	0	386	0
ASV700	1619	409	0	4643	0	0
ASV701	0	2548	0	14797	6939	6930
ASV702	0	990	0	0	0	1179
ASV703	1601	0	357	1267	0	348
ASV704	0	0	0	2570	0	0
ASV705	0	0	0	0	0	0
ASV706	2358	4550	986	4399	5397	2888
ASV707	0	0	0	0	0	0
ASV708	6821	4487	1442	2922	5281	3340
ASV709	0	997	0	0	0	527
ASV710	1346	1994	676	1643	1320	791
ASV711	0	0	0	0	0	0
ASV712	0	6673	731	0	214	0
ASV714	0	0	0	0	0	0
ASV715	0	0	0	0	0	0
ASV716	0	619	403	1904	394	524
ASV717	0	0	56827	97181	5012	0
ASV718	0	0	0	0	0	0
ASV719	0	0	0	0	0	0
ASV720	0	75	0	0	0	0
ASV721	3276	1213	0	3666	1607	2246
ASV722	0	0	0	0	0	0
ASV723	0	0	0	0	0	0
ASV724	0	0	0	0	0	0
ASV726	0	707	0	2717	0	1495
ASV728	0	0	105	0	0	0
ASV729	0	0	0	0	0	1925
ASV730	839	6309	5578	1813	1131	1027
ASV731	0	0	0	0	0	0
ASV732	0	0	0	0	0	0
ASV733	988	0	0	0	0	1117
ASV734	0	0	0	0	0	0
ASV735	0	0	0	0	0	2104
ASV736	0	0	0	0	0	0
ASV737	0	6551	1579	0	771	0
ASV738	267	0	134	816	1836	4452
ASV739	0	728	1578	1800	0	962
ASV740	0	0	0	0	0	0
ASV741	1436	499	541	2922	2112	0
ASV742	0	2912	0	0	0	770
ASV743	0	0	0	0	0	0
ASV744	6290	0	0	0	3470	0
ASV745	0	0	0	0	0	0
ASV746	5306	2730	3749	4999	0	2310
ASV747	936	1625	1292	0	3098	1948
ASV748	1769	364	690	1500	2024	962
ASV749	4380	0	0	0	0	660
ASV750	17757	4637	3961	11735	10866	12189
ASV751	0	0	0	0	0	0
ASV752	0	0	0	0	0	0
ASV753	0	0	0	0	0	0
ASV754	2594	1478	0	11165	5675	0
ASV755	0	758	0	11307	688	0
ASV756	0	0	0	0	0	0
ASV757	6093	85714	25256	13598	29298	10972
ASV758	1353	442	1118	2429	1795	779
ASV759	0	0	0	0	0	0
ASV760	3817	0	2299	0	0	0
ASV761	0	0	0	4872	0	0
ASV762	0	0	0	0	0	0
ASV763	1114	844	0	928	1888	2580
ASV764	0	0	574	0	561	280
ASV765	0	0	316	320	0	308
ASV766	0	0	0	0	0	0
ASV767	0	0	0	0	0	0
ASV768	159	74	80	2510	312	78
ASV769	0	0	0	0	0	0
ASV770	0	0	0	0	0	0
